testament,book,chapter,source,source_verses,russian_verses,match
OT,PSA,150,WLC,6,6,True
OT,PRO,1,WLC,33,33,True
OT,PRO,2,WLC,22,22,True
OT,PRO,3,WLC,35,35,True
OT,PRO,4,WLC,27,29,False
OT,PRO,5,WLC,23,23,True
OT,PRO,6,WLC,35,35,True
OT,PRO,7,WLC,27,27,True
OT,PRO,8,WLC,36,36,True
OT,PRO,9,WLC,18,18,True
OT,PRO,10,WLC,32,32,True
OT,PRO,11,WLC,31,31,True
OT,PRO,12,WLC,28,28,True
OT,PRO,13,WLC,25,26,False
OT,PRO,14,WLC,35,35,True
OT,PRO,15,WLC,33,33,True
OT,PRO,16,WLC,33,33,True
OT,PRO,17,WLC,28,28,True
OT,PRO,18,WLC,24,24,True
OT,PRO,19,WLC,29,29,True
OT,PRO,20,WLC,30,30,True
OT,PRO,21,WLC,31,31,True
OT,PRO,22,WLC,29,29,True
OT,PRO,23,WLC,35,35,True
OT,PRO,24,WLC,34,34,True
OT,PRO,25,WLC,28,28,True
OT,PRO,26,WLC,28,28,True
OT,PRO,27,WLC,27,27,True
OT,PRO,28,WLC,28,28,True
OT,PRO,29,WLC,27,27,True
OT,PRO,30,WLC,33,33,True
OT,PRO,31,WLC,31,31,True
OT,RUT,1,WLC,22,22,True
OT,RUT,2,WLC,23,23,True
OT,RUT,3,WLC,18,18,True
OT,RUT,4,WLC,22,22,True
OT,AMO,1,WLC,15,15,True
OT,AMO,2,WLC,16,16,True
OT,AMO,3,WLC,15,15,True
OT,AMO,4,WLC,13,13,True
OT,AMO,5,WLC,27,27,True
OT,AMO,6,WLC,14,14,True
OT,AMO,7,WLC,17,17,True
OT,AMO,8,WLC,14,14,True
OT,AMO,9,WLC,15,15,True
OT,1KI,1,WLC,53,53,True
OT,1KI,2,WLC,46,46,True
OT,1KI,3,WLC,28,28,True
OT,1KI,4,WLC,34,34,True
OT,1KI,5,WLC,18,18,True
OT,1KI,6,WLC,38,38,True
OT,1KI,7,WLC,51,51,True
OT,1KI,8,WLC,66,66,True
OT,1KI,9,WLC,28,28,True
OT,1KI,10,WLC,29,29,True
OT,1KI,11,WLC,43,43,True
OT,1KI,12,WLC,33,33,True
OT,1KI,13,WLC,34,34,True
OT,1KI,14,WLC,31,31,True
OT,1KI,15,WLC,34,34,True
OT,1KI,16,WLC,34,34,True
OT,1KI,17,WLC,24,24,True
OT,1KI,18,WLC,46,46,True
OT,1KI,19,WLC,21,21,True
OT,1KI,20,WLC,43,43,True
OT,1KI,21,WLC,29,29,True
OT,1KI,22,WLC,53,53,True
OT,JER,1,WLC,19,19,True
OT,JER,2,WLC,37,37,True
OT,JER,3,WLC,25,25,True
OT,JER,4,WLC,31,31,True
OT,JER,5,WLC,31,31,True
OT,JER,6,WLC,30,30,True
OT,JER,7,WLC,34,34,True
OT,JER,8,WLC,22,22,True
OT,JER,9,WLC,26,26,True
OT,JER,10,WLC,25,25,True
OT,JER,11,WLC,23,23,True
OT,JER,12,WLC,17,17,True
OT,JER,13,WLC,27,27,True
OT,JER,14,WLC,22,22,True
OT,JER,15,WLC,21,21,True
OT,JER,16,WLC,21,21,True
OT,JER,17,WLC,27,27,True
OT,JER,18,WLC,23,23,True
OT,JER,19,WLC,15,15,True
OT,JER,20,WLC,18,18,True
OT,JER,21,WLC,14,14,True
OT,JER,22,WLC,30,30,True
OT,JER,23,WLC,40,40,True
OT,JER,24,WLC,10,10,True
OT,JER,25,WLC,38,38,True
OT,JER,26,WLC,24,24,True
OT,JER,27,WLC,22,22,True
OT,JER,28,WLC,17,17,True
OT,JER,29,WLC,32,32,True
OT,JER,30,WLC,24,24,True
OT,JER,31,WLC,40,40,True
OT,JER,32,WLC,44,44,True
OT,JER,33,WLC,26,26,True
OT,JER,34,WLC,22,22,True
OT,JER,35,WLC,19,19,True
OT,JER,36,WLC,32,32,True
OT,JER,37,WLC,21,21,True
OT,JER,38,WLC,28,28,True
OT,JER,39,WLC,18,18,True
OT,JER,40,WLC,16,16,True
OT,JER,41,WLC,18,18,True
OT,JER,42,WLC,22,22,True
OT,JER,43,WLC,13,13,True
OT,JER,44,WLC,30,30,True
OT,JER,45,WLC,5,5,True
OT,JER,46,WLC,28,28,True
OT,JER,47,WLC,7,7,True
OT,JER,48,WLC,47,47,True
OT,JER,49,WLC,39,39,True
OT,JER,50,WLC,46,46,True
OT,JER,51,WLC,64,64,True
OT,JER,52,WLC,34,34,True
OT,JON,1,WLC,17,16,False
OT,JON,2,WLC,10,11,False
OT,JON,3,WLC,10,10,True
OT,JON,4,WLC,11,11,True
OT,NEH,1,WLC,11,11,True
OT,NEH,2,WLC,20,20,True
OT,NEH,3,WLC,32,32,True
OT,NEH,4,WLC,23,23,True
OT,NEH,5,WLC,19,19,True
OT,NEH,6,WLC,19,19,True
OT,NEH,7,WLC,73,73,True
OT,NEH,8,WLC,18,18,True
OT,NEH,9,WLC,38,38,True
OT,NEH,10,WLC,39,39,True
OT,NEH,11,WLC,36,36,True
OT,NEH,12,WLC,47,47,True
OT,NEH,13,WLC,31,31,True
OT,JOL,1,WLC,20,20,True
OT,JOL,2,WLC,32,32,True
OT,JOL,3,WLC,21,21,True
OT,JDG,1,WLC,36,36,True
OT,JDG,2,WLC,23,23,True
OT,JDG,3,WLC,31,31,True
OT,JDG,4,WLC,24,24,True
OT,JDG,5,WLC,31,31,True
OT,JDG,6,WLC,40,40,True
OT,JDG,7,WLC,25,25,True
OT,JDG,8,WLC,35,35,True
OT,JDG,9,WLC,57,57,True
OT,JDG,10,WLC,18,18,True
OT,JDG,11,WLC,40,40,True
OT,JDG,12,WLC,15,15,True
OT,JDG,13,WLC,25,25,True
OT,JDG,14,WLC,20,20,True
OT,JDG,15,WLC,20,20,True
OT,JDG,16,WLC,31,31,True
OT,JDG,17,WLC,13,13,True
OT,JDG,18,WLC,31,31,True
OT,JDG,19,WLC,30,30,True
OT,JDG,20,WLC,48,48,True
OT,JDG,21,WLC,25,25,True
OT,1SA,1,WLC,28,28,True
OT,1SA,2,WLC,36,36,True
OT,1SA,3,WLC,21,21,True
OT,1SA,4,WLC,22,22,True
OT,1SA,5,WLC,12,12,True
OT,1SA,6,WLC,21,21,True
OT,1SA,7,WLC,17,17,True
OT,1SA,8,WLC,22,22,True
OT,1SA,9,WLC,27,27,True
OT,1SA,10,WLC,27,27,True
OT,1SA,11,WLC,15,15,True
OT,1SA,12,WLC,25,25,True
OT,1SA,13,WLC,23,23,True
OT,1SA,14,WLC,52,52,True
OT,1SA,15,WLC,35,35,True
OT,1SA,16,WLC,23,23,True
OT,1SA,17,WLC,58,58,True
OT,1SA,18,WLC,30,30,True
OT,1SA,19,WLC,24,24,True
OT,1SA,20,WLC,42,43,False
OT,1SA,21,WLC,15,15,True
OT,1SA,22,WLC,23,23,True
OT,1SA,23,WLC,29,28,False
OT,1SA,24,WLC,22,23,False
OT,1SA,25,WLC,44,44,True
OT,1SA,26,WLC,25,25,True
OT,1SA,27,WLC,12,12,True
OT,1SA,28,WLC,25,25,True
OT,1SA,29,WLC,11,11,True
OT,1SA,30,WLC,31,31,True
OT,1SA,31,WLC,13,13,True
OT,DEU,1,WLC,46,46,True
OT,DEU,2,WLC,37,37,True
OT,DEU,3,WLC,29,29,True
OT,DEU,4,WLC,49,49,True
