book,chapter,expected_verses,actual_verses,match
PSA,120,7,7,True
PSA,121,8,8,True
PSA,122,9,9,True
PSA,123,4,4,True
PSA,124,8,8,True
PSA,125,5,5,True
PSA,126,6,6,True
PSA,127,5,5,True
PSA,128,6,6,True
PSA,129,8,8,True
PSA,130,8,8,True
PSA,131,3,3,True
PSA,132,18,18,True
PSA,133,3,3,True
PSA,134,3,3,True
PSA,135,21,21,True
PSA,136,26,26,True
PSA,137,9,9,True
PSA,138,8,8,True
PSA,139,24,24,True
PSA,140,13,13,True
PSA,141,10,10,True
PSA,142,7,7,True
PSA,143,12,12,True
PSA,144,15,15,True
PSA,145,21,21,True
PSA,146,10,10,True
PSA,147,20,20,True
PSA,148,14,14,True
PSA,149,9,9,True
PSA,150,6,6,True
PRO,1,33,33,True
PRO,2,22,22,True
PRO,3,35,35,True
PRO,4,27,27,True
PRO,5,23,23,True
PRO,6,35,35,True
PRO,7,27,27,True
PRO,8,36,36,True
PRO,9,18,18,True
PRO,10,32,32,True
PRO,11,31,31,True
PRO,12,28,28,True
PRO,13,25,25,True
PRO,14,35,35,True
PRO,15,33,33,True
PRO,16,33,33,True
PRO,17,28,28,True
PRO,18,24,24,True
PRO,19,29,29,True
PRO,20,30,30,True
PRO,21,31,31,True
PRO,22,29,29,True
PRO,23,35,35,True
PRO,24,34,34,True
PRO,25,28,28,True
PRO,26,28,28,True
PRO,27,27,27,True
PRO,28,28,28,True
PRO,29,27,27,True
PRO,30,33,33,True
PRO,31,31,31,True
ECC,1,18,18,True
ECC,2,26,26,True
ECC,3,22,22,True
ECC,4,16,16,True
ECC,5,20,20,True
ECC,6,12,12,True
ECC,7,29,29,True
ECC,8,17,17,True
ECC,9,18,18,True
ECC,10,20,20,True
ECC,11,10,10,True
ECC,12,14,14,True
SNG,1,17,17,True
SNG,2,17,17,True
SNG,3,11,11,True
SNG,4,16,16,True
SNG,5,16,16,True
SNG,6,13,13,True
SNG,7,13,13,True
SNG,8,14,14,True
ISA,1,31,31,True
ISA,2,22,22,True
