book,chapter,expected_verses,actual_verses,match
1PE,5,14,14,True
2PE,1,21,21,True
2PE,2,22,22,True
2PE,3,18,18,True
1JN,1,10,10,True
1JN,2,29,29,True
1JN,3,24,24,True
1JN,4,21,21,True
1JN,5,21,21,True
2JN,1,13,13,True
3JN,1,14,14,True
JUD,1,25,25,True
REV,1,20,20,True
REV,2,29,29,True
REV,3,22,22,True
REV,4,11,11,True
REV,5,14,14,True
REV,6,17,17,True
REV,7,17,17,True
REV,8,13,13,True
REV,9,21,21,True
REV,10,11,11,True
REV,11,19,19,True
REV,12,17,17,True
REV,13,18,18,True
REV,14,20,20,True
REV,15,8,8,True
REV,16,21,21,True
REV,17,18,18,True
REV,18,24,24,True
REV,19,21,21,True
REV,20,15,15,True
REV,21,27,27,True
REV,22,21,21,True
