book,chapter,verse,flags,priority
MRK,14,20,TRANSLATION,normal
MRK,14,25,TRANSLATION,normal
MRK,14,30,TRANSLATION,normal
MRK,14,35,TRANSLATION,normal
MRK,14,36,TRANSLATION,normal
MRK,14,47,TRANSLATION,normal
MRK,14,48,TRANSLATION,normal
MRK,14,53,TRANSLATION,normal
MRK,14,63,TRANSLATION,normal
MRK,14,64,TRANSLATION,normal
MRK,14,66,TRANSLATION,normal
MRK,14,69,TRANSLATION,normal
MRK,14,72,TRANSLATION,normal
MRK,15,2,TRANSLATION,normal
MRK,15,3,TRANSLATION,normal
MRK,15,6,TRANSLATION,normal
MRK,15,8,TRANSLATION,normal
MRK,15,9,TRANSLATION,normal
MRK,15,11,TRANSLATION,normal
MRK,15,18,TRANSLATION,normal
MRK,15,19,TRANSLATION,normal
MRK,15,20,TRANSLATION,normal
MRK,15,21,TRANSLATION,normal
MRK,15,26,TRANSLATION,normal
MRK,15,31,TRANSLATION,normal
MRK,15,32,TRANSLATION,normal
MRK,15,35,TRANSLATION,normal
MRK,15,36,TRANSLATION,normal
MRK,15,37,TRANSLATION,normal
MRK,15,41,TRANSLATION,normal
MRK,15,42,TRANSLATION,normal
MRK,15,45,TRANSLATION,normal
MRK,15,47,TRANSLATION,normal
MRK,16,2,TRANSLATION,normal
MRK,16,3,TRANSLATION,normal
MRK,16,5,TRANSLATION,normal
MRK,16,6,TRANSLATION,normal
MRK,16,11,TRANSLATION,normal
MRK,16,12,TRANSLATION,normal
MRK,16,13,TRANSLATION,normal
MRK,16,14,TRANSLATION,normal
MRK,16,17,TRANSLATION,normal
MRK,16,18,TRANSLATION,normal
MRK,16,20,TRANSLATION,normal
LUK,1,1,TRANSLATION,normal
LUK,1,2,TRANSLATION,normal
LUK,1,3,TRANSLATION,normal
LUK,1,9,TRANSLATION,normal
LUK,1,17,TRANSLATION,normal
LUK,1,20,TRANSLATION,normal
LUK,1,24,TRANSLATION,normal
LUK,1,29,TRANSLATION,normal
LUK,1,34,TRANSLATION,normal
LUK,1,44,TRANSLATION,normal
LUK,1,47,TRANSLATION,normal
LUK,1,48,TRANSLATION,normal
LUK,1,54,TRANSLATION,normal
LUK,1,61,TRANSLATION,normal
LUK,1,62,TRANSLATION,normal
LUK,1,63,TRANSLATION,normal
LUK,1,64,TRANSLATION,normal
LUK,1,66,TRANSLATION,normal
LUK,1,69,TRANSLATION,normal
LUK,1,72,TRANSLATION,normal
LUK,1,77,TRANSLATION,normal
LUK,1,78,TRANSLATION,normal
LUK,2,5,TRANSLATION,normal
LUK,2,10,TRANSLATION,normal
LUK,2,21,TRANSLATION,normal
LUK,2,22,TRANSLATION,normal
LUK,2,23,TRANSLATION,normal
LUK,2,24,TRANSLATION,normal
LUK,2,26,TRANSLATION,normal
LUK,2,27,TRANSLATION,normal
LUK,2,32,TRANSLATION,normal
LUK,2,35,TRANSLATION,normal
LUK,2,36,TRANSLATION,normal
LUK,2,38,TRANSLATION,normal
LUK,2,40,TRANSLATION,normal
LUK,2,47,TRANSLATION,normal
LUK,2,49,TRANSLATION,normal
LUK,3,2,TRANSLATION,normal
LUK,3,7,TRANSLATION,normal
LUK,3,10,TRANSLATION,normal
LUK,3,14,TRANSLATION,normal
LUK,3,17,TRANSLATION,normal
LUK,3,18,TRANSLATION,normal
LUK,3,22,TRANSLATION,normal
LUK,3,31,TRANSLATION,normal
LUK,3,33,TRANSLATION,normal
LUK,4,3,TRANSLATION,normal
LUK,4,6,TRANSLATION,normal
LUK,4,7,TRANSLATION,normal
LUK,4,13,TRANSLATION,normal
LUK,4,15,TRANSLATION,normal
LUK,4,19,TRANSLATION,normal
LUK,4,20,TRANSLATION,normal
LUK,4,21,TRANSLATION,normal
LUK,4,23,TRANSLATION,normal
LUK,4,25,TRANSLATION,normal
LUK,4,30,TRANSLATION,normal
LUK,4,32,TRANSLATION,normal
LUK,4,35,TRANSLATION,normal
LUK,4,36,TRANSLATION,normal
LUK,4,39,TRANSLATION,normal
LUK,4,40,TRANSLATION,normal
LUK,4,44,TRANSLATION,normal
LUK,5,1,TRANSLATION,normal
LUK,5,2,TRANSLATION,normal
LUK,5,3,TRANSLATION,normal
LUK,5,4,TRANSLATION,normal
LUK,5,5,TRANSLATION,normal
LUK,5,7,TRANSLATION,normal
LUK,5,10,TRANSLATION,normal
LUK,5,15,TRANSLATION,normal
LUK,5,17,TRANSLATION,normal
LUK,5,19,TRANSLATION,normal
LUK,5,29,TRANSLATION,normal
LUK,5,33,TRANSLATION,normal
LUK,5,34,TRANSLATION,normal
LUK,5,37,TRANSLATION,normal
LUK,5,38,TRANSLATION,normal
LUK,5,39,TRANSLATION,normal
LUK,6,1,TRANSLATION,normal
LUK,6,4,TRANSLATION,normal
LUK,6,5,TRANSLATION,normal
LUK,6,8,TRANSLATION,normal
LUK,6,11,TRANSLATION,normal
LUK,6,15,TRANSLATION,normal
LUK,6,20,TRANSLATION,normal
LUK,6,22,TRANSLATION,normal
LUK,6,23,TRANSLATION,normal
LUK,6,24,TRANSLATION,normal
LUK,6,29,TRANSLATION,normal
LUK,6,30,TRANSLATION,normal
LUK,6,36,TRANSLATION,normal
LUK,6,41,TRANSLATION,normal
LUK,6,48,TRANSLATION,normal
LUK,7,2,TRANSLATION,normal
LUK,7,4,TRANSLATION,normal
LUK,7,5,TRANSLATION,normal
LUK,7,7,TRANSLATION,normal
LUK,7,9,TRANSLATION,normal
LUK,7,10,TRANSLATION,normal
LUK,7,11,TRANSLATION,normal
LUK,7,15,TRANSLATION,normal
LUK,7,18,TRANSLATION,normal
LUK,7,19,TRANSLATION,normal
LUK,7,24,TRANSLATION,normal
LUK,7,28,TRANSLATION,normal
LUK,7,35,TRANSLATION,normal
LUK,7,36,TRANSLATION,normal
LUK,7,37,TRANSLATION,normal
LUK,7,41,TRANSLATION,normal
LUK,7,44,TRANSLATION,normal
LUK,7,45,TRANSLATION,normal
LUK,8,2,TRANSLATION,normal
LUK,8,3,TRANSLATION,normal
LUK,8,7,TRANSLATION,normal
LUK,8,9,TRANSLATION,normal
LUK,8,12,TRANSLATION,normal
LUK,8,18,TRANSLATION,normal
LUK,8,28,TRANSLATION,normal
LUK,8,29,TRANSLATION,normal
LUK,8,30,TRANSLATION,normal
LUK,8,32,TRANSLATION,normal
LUK,8,36,TRANSLATION,normal
LUK,8,38,TRANSLATION,normal
LUK,8,42,TRANSLATION,normal
LUK,8,45,TRANSLATION,normal
LUK,8,46,TRANSLATION,normal
LUK,8,47,TRANSLATION,normal
LUK,8,52,TRANSLATION,normal
LUK,8,53,TRANSLATION,normal
LUK,8,55,TRANSLATION,normal
LUK,9,1,TRANSLATION,normal
LUK,9,5,TRANSLATION,normal
LUK,9,7,TRANSLATION,normal
LUK,9,11,TRANSLATION,normal
LUK,9,15,TRANSLATION,normal
LUK,9,27,TRANSLATION,normal
LUK,9,31,TRANSLATION,normal
LUK,9,34,TRANSLATION,normal
LUK,9,36,TRANSLATION,normal
LUK,9,40,TRANSLATION,normal
LUK,9,41,TRANSLATION,normal
LUK,9,42,TRANSLATION,normal
LUK,9,50,TRANSLATION,normal
LUK,9,51,TRANSLATION,normal
LUK,9,56,TRANSLATION,normal
LUK,9,60,TRANSLATION,normal
LUK,10,1,TRANSLATION,normal
LUK,10,4,TRANSLATION,normal
LUK,10,6,TRANSLATION,normal
LUK,10,11,TRANSLATION,normal
LUK,10,12,TRANSLATION,normal
LUK,10,13,TRANSLATION,normal
LUK,10,14,TRANSLATION,normal
LUK,10,19,TRANSLATION,normal
LUK,10,20,TRANSLATION,normal
LUK,10,21,TRANSLATION,normal
LUK,10,22,TRANSLATION,normal
LUK,10,23,TRANSLATION,normal
LUK,10,25,TRANSLATION,normal
LUK,10,26,TRANSLATION,normal
LUK,10,29,TRANSLATION,normal
LUK,10,32,TRANSLATION,normal
LUK,10,34,TRANSLATION,normal
LUK,10,40,TRANSLATION,normal
LUK,11,1,TRANSLATION,normal
LUK,11,3,TRANSLATION,normal
LUK,11,4,TRANSLATION,normal
LUK,11,5,TRANSLATION,normal
LUK,11,6,TRANSLATION,normal
LUK,11,8,TRANSLATION,normal
LUK,11,11,TRANSLATION,normal
LUK,11,12,TRANSLATION,normal
LUK,11,17,TRANSLATION,normal
LUK,11,18,TRANSLATION,normal
LUK,11,19,TRANSLATION,normal
LUK,11,21,TRANSLATION,normal
LUK,11,22,TRANSLATION,normal
LUK,11,32,TRANSLATION,normal
LUK,11,35,TRANSLATION,normal
LUK,11,37,TRANSLATION,normal
LUK,11,38,TRANSLATION,normal
LUK,11,45,TRANSLATION,normal
LUK,11,48,TRANSLATION,normal
LUK,11,49,TRANSLATION,normal
LUK,12,8,TRANSLATION,normal
LUK,12,9,TRANSLATION,normal
LUK,12,14,TRANSLATION,normal
LUK,12,15,TRANSLATION,normal
LUK,12,21,TRANSLATION,normal
LUK,12,27,TRANSLATION,normal
LUK,12,28,TRANSLATION,normal
LUK,12,29,TRANSLATION,normal
LUK,12,33,TRANSLATION,normal
LUK,12,37,TRANSLATION,normal
LUK,12,42,TRANSLATION,normal
LUK,12,43,TRANSLATION,normal
LUK,12,44,TRANSLATION,normal
LUK,12,47,TRANSLATION,normal
LUK,12,49,TRANSLATION,normal
LUK,12,51,TRANSLATION,normal
