decision,category,strongs,canonical_label,goi_form,kjv_form,webus_form,occurrence_count,unique_target_count,sample_refs,review_note
active_review,person_or_place,H5798,ʻUzzâʼ,Uzza,Uzzah,Uzzah,4,4,2SA 6:3; 2SA 6:6; 2SA 6:7; 2SA 6:8,
active_review,person_or_place,H6252,ʻAshtârôwth,Astaroth,Ashtaroth,Ashtaroth,4,4,JOS 12:4; JOS 13:31; 1SA 7:4; 1SA 31:10,
active_review,person_or_place,H682,ʼÂtsêl,Azal,Azel,Azel,4,2,1CH 8:38; 1CH 9:44,
active_review,divine_name_or_title,G2316,theós,God,godly,godly,3,3,2CO 7:9; 2CO 7:10; 2CO 7:11,
active_review,person_or_place,H1387,Gebaʻ,Gaba,Geba,Geba,3,3,2CH 16:6; EZR 2:26; NEH 7:30,
active_review,person_or_place,H281,ʼĂchîyâh,Ahiah,Ahijah,Ahijah,3,3,1KI 11:29; 1CH 2:25; 1CH 26:20,
active_review,person_or_place,H29,ʼĂbîyâh,Abiah,Abijah,Abijah,3,3,2CH 13:19; NEH 10:8; NEH 12:4,
active_review,divine_name_or_title,H3050,Yâhh,Jah,The LORD,The LORD,3,3,PSA 94:7; PSA 118:14; PSA 118:18,
active_review,divine_name_or_title,H3050,Yâhh,the Lord,the LORD,the LORD,3,2,PSA 135:3; ISA 38:11,
active_review,divine_name_or_title,H3069,Yᵉhôvih,Lord,Lord GOD,Lord GOD,3,3,PSA 69:7; ISA 50:7; ZEP 1:7,
active_review,person_or_place,H3076,Yᵉhôwchânân,Jehohanan,Johanan,Johanan,3,3,1CH 12:5; 1CH 12:13; 2CH 28:12,
active_review,person_or_place,H3266,Yᵉʻûwsh,Jehush,Jeush,Jeush,3,3,1CH 23:10; 1CH 23:11; 2CH 11:19,
active_review,person_or_place,H3406,Yᵉrîymôwth,Jermoth,Jerimoth,Jerimoth,3,3,1CH 12:6; 1CH 25:4; 2CH 11:18,
active_review,person_or_place,H3449,Yishshîyâh,Ishiah,Isshiah,Isshiah,3,2,1CH 24:21; 1CH 24:25,
active_review,person_or_place,H359,ʼÊylôwth,Elath,Eloth,Eloth,3,3,1KI 9:26; 2CH 8:17; 2CH 26:2,
active_review,divine_name_or_title,H410,ʼêl,mighty,God,God,3,3,JOB 20:15; JOB 31:23; PSA 89:8,
active_review,divine_name_or_title,H430,ʼĕlôhîym,god,gods,gods,3,3,GEN 31:30; 2KI 17:29; 1CH 10:10,
active_review,person_or_place,H445,ʼElchânân,Elkanan,Elhanan,Elhanan,3,3,2SA 21:19; 2SA 23:24; 1CH 20:5,
active_review,person_or_place,H4601,Maʻăkâh,Maachah,Maacah,Maacah,3,3,2SA 3:3; 2SA 10:6; 2SA 10:8,
active_review,person_or_place,H4714,Mitsrayim,Egypt,Mizraim,Mizraim,3,3,GEN 10:6; 1CH 1:8; 1CH 1:11,
